11-06-2019:17:45:19,7 INFO [test_1.py:29] 手机与appium服务器建立连接完成
11-06-2019:17:56:01,85 INFO [test_1.py:51] 登录失败的处理
11-06-2019:17:56:01,86 INFO [test_1.py:57] 手机与appium断开连接
11-06-2019:17:57:12,946 INFO [test_1.py:29] 手机与appium服务器建立连接完成
11-06-2019:17:57:17,957 INFO [test_1.py:33] 点击密码按键，进入账号密码登录页面
11-06-2019:17:57:24,258 INFO [test_1.py:37] 输入的手机是:17630171326
11-06-2019:17:57:29,559 INFO [test_1.py:39] 输入的密码是:
11-06-2019:17:57:32,694 INFO [test_1.py:41] 点击登录按钮
11-06-2019:17:57:34,694 INFO [test_1.py:45] 登录成功的处理
11-06-2019:17:57:39,773 INFO [test_1.py:51] 登录失败的处理
11-06-2019:17:57:39,774 INFO [test_1.py:57] 手机与appium断开连接
11-06-2019:19:22:40,470 INFO [test_1.py:29] 手机与appium服务器建立连接完成
11-06-2019:19:22:45,472 INFO [test_1.py:33] 点击密码按键，进入账号密码登录页面
11-06-2019:19:22:51,689 INFO [test_1.py:37] 输入的手机是:17630171326
11-06-2019:19:22:57,27 INFO [test_1.py:39] 输入的密码是:
11-06-2019:19:23:00,213 INFO [test_1.py:41] 点击登录按钮
11-06-2019:19:23:02,214 INFO [test_1.py:45] 登录成功的处理
11-06-2019:19:23:07,268 INFO [test_1.py:51] 登录失败的处理
11-06-2019:19:23:07,271 INFO [test_1.py:57] 手机与appium断开连接
11-06-2019:19:23:34,13 INFO [test_1.py:29] 手机与appium服务器建立连接完成
11-06-2019:19:23:39,14 INFO [test_1.py:33] 点击密码按键，进入账号密码登录页面
11-06-2019:19:23:45,834 INFO [test_1.py:37] 输入的手机是:17630171326
11-06-2019:19:23:51,110 INFO [test_1.py:39] 输入的密码是:
11-06-2019:19:23:54,253 INFO [test_1.py:41] 点击登录按钮
11-06-2019:19:23:56,253 INFO [test_1.py:45] 登录成功的处理
11-06-2019:19:24:01,392 INFO [test_1.py:51] 登录失败的处理
11-06-2019:19:24:07,731 INFO [test_1.py:37] 输入的手机是: 
11-06-2019:19:24:12,696 INFO [test_1.py:39] 输入的密码是:xiao123465
11-06-2019:19:24:16,340 INFO [test_1.py:41] 点击登录按钮
11-06-2019:19:24:18,341 INFO [test_1.py:45] 登录成功的处理
11-06-2019:19:24:23,441 INFO [test_1.py:51] 登录失败的处理
11-06-2019:19:24:23,443 INFO [test_1.py:57] 手机与appium断开连接
11-06-2019:19:27:57,131 INFO [test_1.py:29] 手机与appium服务器建立连接完成
11-06-2019:19:28:02,132 INFO [test_1.py:33] 点击密码按键，进入账号密码登录页面
11-06-2019:19:28:08,475 INFO [test_1.py:37] 输入的手机是:17630171326
11-06-2019:19:28:13,754 INFO [test_1.py:39] 输入的密码是:
11-06-2019:19:28:16,896 INFO [test_1.py:41] 点击登录按钮
11-06-2019:19:28:18,897 INFO [test_1.py:45] 登录成功的处理
11-06-2019:19:28:23,950 INFO [test_1.py:51] 登录失败的处理
11-06-2019:19:28:29,847 INFO [test_1.py:37] 输入的手机是: 
11-06-2019:19:28:34,773 INFO [test_1.py:39] 输入的密码是:xiao123465
11-06-2019:19:28:38,738 INFO [test_1.py:41] 点击登录按钮
11-06-2019:19:28:40,738 INFO [test_1.py:45] 登录成功的处理
11-06-2019:19:28:45,831 INFO [test_1.py:51] 登录失败的处理
11-06-2019:19:28:50,661 INFO [test_1.py:37] 输入的手机是: 
11-06-2019:19:28:56,370 INFO [test_1.py:39] 输入的密码是:
11-06-2019:19:28:59,558 INFO [test_1.py:41] 点击登录按钮
11-06-2019:19:29:01,559 INFO [test_1.py:45] 登录成功的处理
11-06-2019:19:29:06,621 INFO [test_1.py:51] 登录失败的处理
11-06-2019:19:29:06,632 INFO [test_1.py:57] 手机与appium断开连接
11-06-2019:19:37:05,535 INFO [test_1.py:29] 手机与appium服务器建立连接完成
11-06-2019:19:37:10,535 INFO [test_1.py:33] 点击密码按键，进入账号密码登录页面
11-06-2019:19:37:17,181 INFO [test_1.py:37] 输入的手机是:17630171326
11-06-2019:19:37:22,952 INFO [test_1.py:39] 输入的密码是:
11-06-2019:19:37:26,100 INFO [test_1.py:41] 点击登录按钮
11-06-2019:19:37:28,101 INFO [test_1.py:45] 登录成功的处理
11-06-2019:19:37:33,228 INFO [test_1.py:51] 登录失败的处理
11-06-2019:19:37:39,733 INFO [test_1.py:37] 输入的手机是: 
11-06-2019:19:37:44,569 INFO [test_1.py:39] 输入的密码是:xiao123465
11-06-2019:19:37:48,232 INFO [test_1.py:41] 点击登录按钮
11-06-2019:19:37:50,234 INFO [test_1.py:45] 登录成功的处理
11-06-2019:19:37:55,346 INFO [test_1.py:51] 登录失败的处理
11-06-2019:19:38:00,140 INFO [test_1.py:37] 输入的手机是: 
11-06-2019:19:38:05,757 INFO [test_1.py:39] 输入的密码是:
11-06-2019:19:38:08,901 INFO [test_1.py:41] 点击登录按钮
11-06-2019:19:38:10,902 INFO [test_1.py:45] 登录成功的处理
11-06-2019:19:38:16,7 INFO [test_1.py:51] 登录失败的处理
11-06-2019:19:38:16,25 INFO [test_1.py:57] 手机与appium断开连接
11-06-2019:19:46:54,782 INFO [test_1.py:29] 手机与appium服务器建立连接完成
11-06-2019:19:46:59,783 INFO [test_1.py:33] 点击密码按键，进入账号密码登录页面
11-06-2019:19:47:06,167 INFO [test_1.py:37] 输入的手机是:17630171326
11-06-2019:19:47:11,314 INFO [test_1.py:39] 输入的密码是:
11-06-2019:19:47:14,490 INFO [test_1.py:41] 点击登录按钮
11-06-2019:19:47:16,495 INFO [test_1.py:45] 登录成功的处理
11-06-2019:19:47:21,581 INFO [test_1.py:51] 登录失败的处理
11-06-2019:19:47:21,586 INFO [test_1.py:57] 手机与appium断开连接
11-06-2019:19:47:48,664 INFO [test_1.py:29] 手机与appium服务器建立连接完成
11-06-2019:19:47:53,665 INFO [test_1.py:33] 点击密码按键，进入账号密码登录页面
11-06-2019:19:48:00,861 INFO [test_1.py:37] 输入的手机是:17630171326
11-06-2019:19:48:06,655 INFO [test_1.py:39] 输入的密码是:
11-06-2019:19:48:09,831 INFO [test_1.py:41] 点击登录按钮
11-06-2019:19:48:11,831 INFO [test_1.py:45] 登录成功的处理
11-06-2019:19:48:16,872 INFO [test_1.py:51] 登录失败的处理
11-06-2019:19:48:16,885 INFO [test_1.py:57] 手机与appium断开连接
11-06-2019:19:48:41,628 INFO [test_1.py:29] 手机与appium服务器建立连接完成
11-06-2019:19:48:46,629 INFO [test_1.py:33] 点击密码按键，进入账号密码登录页面
11-06-2019:19:48:52,994 INFO [test_1.py:37] 输入的手机是:17630171326
11-06-2019:19:48:58,201 INFO [test_1.py:39] 输入的密码是:
11-06-2019:19:49:01,368 INFO [test_1.py:41] 点击登录按钮
11-06-2019:19:49:03,369 INFO [test_1.py:45] 登录成功的处理
11-06-2019:19:49:08,428 INFO [test_1.py:51] 登录失败的处理
11-06-2019:19:49:14,334 INFO [test_1.py:37] 输入的手机是: 
11-06-2019:19:49:19,244 INFO [test_1.py:39] 输入的密码是:xiao123465
11-06-2019:19:49:22,900 INFO [test_1.py:41] 点击登录按钮
11-06-2019:19:49:24,901 INFO [test_1.py:45] 登录成功的处理
11-06-2019:19:49:30,25 INFO [test_1.py:51] 登录失败的处理
11-06-2019:19:49:30,27 INFO [test_1.py:57] 手机与appium断开连接
11-06-2019:20:09:34,695 INFO [test_1.py:29] 手机与appium服务器建立连接完成
11-06-2019:20:09:39,701 INFO [test_1.py:33] 点击密码按键，进入账号密码登录页面
11-06-2019:20:09:46,213 INFO [test_1.py:37] 输入的手机是:17630171326
11-06-2019:20:09:51,562 INFO [test_1.py:39] 输入的密码是:
11-06-2019:20:09:54,714 INFO [test_1.py:41] 点击登录按钮
11-06-2019:20:09:56,715 INFO [test_1.py:45] 登录成功的处理
11-06-2019:20:10:01,804 INFO [test_1.py:51] 登录失败的处理
11-06-2019:20:10:01,813 INFO [test_1.py:57] 手机与appium断开连接
11-06-2019:20:11:17,830 INFO [test_1.py:29] 手机与appium服务器建立连接完成
11-06-2019:20:11:22,831 INFO [test_1.py:33] 点击密码按键，进入账号密码登录页面
11-06-2019:20:11:29,168 INFO [test_1.py:37] 输入的手机是:17630171326
11-06-2019:20:11:34,617 INFO [test_1.py:39] 输入的密码是:
11-06-2019:20:11:37,784 INFO [test_1.py:41] 点击登录按钮
11-06-2019:20:11:39,784 INFO [test_1.py:45] 登录成功的处理
11-06-2019:20:11:44,873 INFO [test_1.py:51] 登录失败的处理
11-06-2019:20:11:50,941 INFO [test_1.py:37] 输入的手机是: 
11-06-2019:20:11:56,152 INFO [test_1.py:39] 输入的密码是:xiao123465
11-06-2019:20:11:59,844 INFO [test_1.py:41] 点击登录按钮
11-06-2019:20:12:01,845 INFO [test_1.py:45] 登录成功的处理
11-06-2019:20:12:06,914 INFO [test_1.py:51] 登录失败的处理
11-06-2019:20:12:11,768 INFO [test_1.py:37] 输入的手机是: 
11-06-2019:20:12:17,248 INFO [test_1.py:39] 输入的密码是:
11-06-2019:20:12:21,152 INFO [test_1.py:41] 点击登录按钮
11-06-2019:20:12:23,153 INFO [test_1.py:45] 登录成功的处理
11-06-2019:20:12:28,241 INFO [test_1.py:51] 登录失败的处理
11-06-2019:20:12:33,474 INFO [test_1.py:37] 输入的手机是:17630171326
11-06-2019:20:12:39,414 INFO [test_1.py:39] 输入的密码是:xiao123456
11-06-2019:20:12:40,448 INFO [test_1.py:41] 点击登录按钮
11-06-2019:20:12:42,450 INFO [test_1.py:45] 登录成功的处理
11-06-2019:20:12:44,770 INFO [test_1.py:57] 手机与appium断开连接
11-06-2019:20:19:30,863 INFO [test_1.py:29] 手机与appium服务器建立连接完成
11-06-2019:20:19:35,865 INFO [test_1.py:33] 点击密码按键，进入账号密码登录页面
11-06-2019:20:19:36,504 INFO [test_1.py:57] 手机与appium断开连接
11-06-2019:20:20:24,77 INFO [test_1.py:29] 手机与appium服务器建立连接完成
11-06-2019:20:20:29,78 INFO [test_1.py:33] 点击密码按键，进入账号密码登录页面
11-06-2019:20:20:35,759 INFO [test_1.py:37] 输入的手机是:17630171326
11-06-2019:20:20:41,13 INFO [test_1.py:39] 输入的密码是:
11-06-2019:20:20:44,194 INFO [test_1.py:41] 点击登录按钮
11-06-2019:20:20:46,195 INFO [test_1.py:45] 登录成功的处理
11-06-2019:20:20:51,292 INFO [test_1.py:51] 登录失败的处理
11-06-2019:20:20:51,294 INFO [test_1.py:57] 手机与appium断开连接
11-06-2019:21:17:59,996 INFO [test_1.py:29] 手机与appium服务器建立连接完成
11-06-2019:21:18:04,999 INFO [test_1.py:33] 点击密码按键，进入账号密码登录页面
11-06-2019:21:18:11,611 INFO [test_1.py:37] 输入的手机是:17630171326
11-06-2019:21:18:16,847 INFO [test_1.py:39] 输入的密码是:
11-06-2019:21:18:20,15 INFO [test_1.py:41] 点击登录按钮
11-06-2019:21:18:25,15 INFO [test_1.py:45] 登录失败的处理
11-06-2019:21:18:30,988 INFO [test_1.py:37] 输入的手机是: 
11-06-2019:21:18:35,995 INFO [test_1.py:39] 输入的密码是:xiao123465
11-06-2019:21:18:39,808 INFO [test_1.py:41] 点击登录按钮
11-06-2019:21:18:44,811 INFO [test_1.py:45] 登录失败的处理
11-06-2019:21:18:49,606 INFO [test_1.py:37] 输入的手机是: 
11-06-2019:21:18:55,190 INFO [test_1.py:39] 输入的密码是:
11-06-2019:21:18:58,417 INFO [test_1.py:41] 点击登录按钮
11-06-2019:21:19:03,417 INFO [test_1.py:45] 登录失败的处理
11-06-2019:21:19:08,523 INFO [test_1.py:37] 输入的手机是:17630171326
11-06-2019:21:19:13,987 INFO [test_1.py:39] 输入的密码是:xiao123456
11-06-2019:21:19:14,958 INFO [test_1.py:41] 点击登录按钮
11-06-2019:21:19:19,958 INFO [test_1.py:45] 登录失败的处理
11-06-2019:21:19:21,961 INFO [test_1.py:51] 登录成功的处理
11-06-2019:21:19:23,213 INFO [test_1.py:57] 手机与appium断开连接
11-06-2019:21:20:37,826 INFO [test_1.py:29] 手机与appium服务器建立连接完成
11-06-2019:21:20:42,830 INFO [test_1.py:33] 点击密码按键，进入账号密码登录页面
11-06-2019:21:20:49,377 INFO [test_1.py:37] 输入的手机是:17630171326
11-06-2019:21:20:54,912 INFO [test_1.py:39] 输入的密码是:
11-06-2019:21:20:58,81 INFO [test_1.py:41] 点击登录按钮
11-06-2019:21:21:03,83 INFO [test_1.py:45] 登录失败的处理
11-06-2019:21:21:05,91 INFO [test_1.py:51] 登录成功的处理
11-06-2019:21:21:05,191 INFO [test_1.py:57] 手机与appium断开连接
